ID,Age,Gender,Marital,Ethnicity,Education,Occupation,WorkSector,ProfPosition,OrgTenure,WorkingHours,Income,BWAS_1,BWAS_2,BWAS_3,BWAS_4,BWAS_5,BWAS_6,BWAS_7,PC_1,PC_2,PC_3,PC_4,PC_5,PC_6,PC_7,PC_8,PC_9,PC_10,PC_11,PC_12,JSS_1,JSS_2,JSS_3,JSS_4,JSS_5,JSS_6,JSS_7,BBI_1,BBI_2,BBI_3,BBI_4,BBI_5,BBI_6,BBI_7,BBI_8,BBI_9
53,27,2,5,6,5,8,1,4,4,40,5,1,2,1,1,1,2,2,4,5,5,5,4,5,5,5,5,5,5,5,4,1,4,2,4,2,4,1,1,1,2,1,2,1,1,5
54,24,2,5,6,6,2,2,3,0,37,4,4,4,3,2,3,3,3,4,5,4,4,4,4,4,5,4,4,4,5,4,3,4,3,4,4,4,2,2,5,3,1,2,1,2,2
55,40,2,1,6,5,14,2,4,4,36,6,3,4,4,4,4,4,4,4,2,4,4,3,4,4,4,4,4,3,4,4,2,4,2,4,4,4,5,4,3,3,3,3,4,3,4
56,24,2,5,6,2,7,1,4,1,37,3,1,5,5,4,5,5,5,2,2,2,3,2,4,2,4,3,3,1,1,1,3,1,2,1,5,1,6,6,6,6,6,5,6,6,2
57,26,2,5,6,5,12,2,3,1,42,4,3,4,3,2,3,4,3,5,5,5,4,4,3,4,5,3,3,3,4,4,4,3,3,4,4,4,4,2,3,2,2,2,3,1,2
58,25,2,5,6,6,1,1,4,4,24,2,3,3,4,3,4,2,2,3,4,3,4,4,4,3,4,4,4,4,4,4,4,3,4,2,4,3,5,2,1,5,4,4,2,4,4
59,57,2,1,8,6,20,2,3,10,30,5,4,4,2,3,3,4,3,4,4,4,4,5,4,4,4,4,4,3,5,4,2,4,2,4,4,4,4,4,2,4,2,1,3,2,5
60,22,2,5,5,6,7,2,4,0,40,2,1,3,1,1,1,2,1,4,4,5,3,3,3,3,5,1,1,3,5,3,1,2,1,3,5,4,1,2,1,6,5,5,1,1,4
61,26,1,5,6,6,2,2,4,1,50,8,2,5,4,4,2,2,4,4,5,4,4,5,4,4,5,2,5,2,4,4,2,4,2,4,4,5,2,2,1,1,1,2,2,2,2
62,36,2,5,6,5,13,2,2,2,40,8,3,4,5,2,3,4,3,3,4,5,4,3,3,2,5,2,3,2,2,1,1,3,2,2,3,2,4,6,3,6,4,6,4,5,3
63,23,2,5,8,5,23,2,4,1,20,1,2,2,1,4,1,1,1,3,3,3,3,3,3,3,4,4,3,4,3,3,1,3,1,4,2,4,2,2,2,2,2,5,2,2,5
64,63,1,1,6,2,13,2,1,5,50,11,1,3,1,1,3,4,2,4,4,4,4,3,3,3,5,4,5,4,2,4,2,4,4,4,4,4,4,1,1,2,4,1,2,1,1
65,24,2,1,6,7,4,1,2,5,25,3,2,2,2,3,4,3,1,4,4,5,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,3,2,2,3,3,2,2,3,3
66,22,2,5,6,6,9,2,4,5,20,1,4,2,4,2,1,3,2,3,4,3,4,4,3,4,5,4,4,3,3,3,1,4,4,3,4,4,2,5,4,5,4,4,2,3,5
67,41,2,1,3,6,15,1,4,17,32,5,5,4,3,1,2,3,4,4,4,4,4,1,4,4,4,4,5,3,3,1,4,1,4,1,4,1,5,6,4,4,6,6,4,4,5
68,47,1,4,6,5,4,1,3,21,40,6,3,4,4,3,2,3,2,4,4,5,5,4,4,4,5,5,4,4,4,3,5,4,5,3,4,4,3,6,2,3,4,4,2,5,3
69,23,2,5,6,5,6,2,4,0,7,1,1,3,3,1,1,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,2,4,2,2,1,2,2,2,2,2,2
70,24,2,5,6,5,2,2,4,2,40,4,3,4,2,1,2,4,3,3,4,2,3,4,3,4,4,4,3,4,2,4,1,3,1,3,4,3,4,3,4,4,4,3,2,4,3
71,26,1,5,6,6,2,2,4,1,35,3,3,4,3,3,4,4,3,5,5,4,4,5,4,5,5,3,5,3,5,4,2,4,1,4,4,4,5,2,4,3,4,4,2,4,5
72,32,2,5,6,5,2,2,2,0,50,11,3,3,3,2,2,3,2,4,4,4,3,4,4,4,3,4,3,4,4,4,4,4,3,4,4,5,3,2,3,3,3,2,3,2,3
73,33,1,5,8,6,5,1,4,2,16,2,2,4,3,3,3,4,3,4,4,4,4,3,4,3,4,4,4,3,4,3,2,3,4,2,3,2,3,5,3,3,5,5,3,5,3
74,43,2,1,6,5,11,2,4,17,16,3,3,2,2,2,1,3,2,4,3,4,4,3,4,4,4,4,5,4,3,3,4,3,3,2,2,2,2,6,4,5,4,5,3,4,4
75,43,2,5,6,5,8,1,2,8,20,2,2,2,2,1,2,2,2,4,4,4,4,4,4,2,4,4,4,2,3,3,3,3,4,2,2,3,2,5,2,3,5,2,1,4,2
76,55,2,1,6,4,13,2,2,0,34,5,1,3,1,2,1,2,2,5,5,5,5,3,5,4,5,4,4,4,4,2,3,2,2,4,2,2,2,5,2,4,2,1,1,3,3
77,31,1,1,6,5,4,2,3,7,47,5,5,5,4,4,2,4,3,5,5,1,5,5,4,4,4,5,5,4,5,4,2,4,2,4,4,4,5,2,1,4,1,1,4,3,1
78,30,2,1,6,5,1,2,2,6,37,4,3,4,2,1,2,2,3,5,5,5,4,4,4,4,4,3,4,2,2,4,5,4,2,2,4,2,4,5,4,2,4,3,1,5,3
79,63,1,1,8,6,1,3,4,23,50,7,4,4,1,3,3,3,3,4,4,4,4,5,4,4,4,5,5,5,5,5,4,5,4,5,4,5,4,1,2,1,1,1,1,1,1
80,23,2,5,5,6,1,1,2,5,42,4,1,3,4,3,1,3,2,4,5,4,3,5,4,5,4,3,5,4,4,5,2,5,3,5,4,4,3,1,4,2,1,1,1,2,2
81,23,2,5,6,5,20,2,4,1,9,1,5,2,3,2,4,3,3,4,2,4,2,2,3,4,5,4,4,1,4,2,4,1,1,2,2,2,1,6,1,5,2,6,1,6,5
82,29,2,5,6,6,8,2,4,2,25,12,5,5,2,5,1,5,4,3,2,2,4,3,3,4,5,4,3,4,4,4,5,2,5,2,5,3,4,5,3,4,5,4,3,5,3
83,25,4,5,6,3,20,1,2,12,32,5,4,5,5,2,4,2,5,4,5,3,4,5,5,3,3,5,5,3,5,4,2,4,2,5,3,5,6,4,4,3,5,5,4,6,5
84,24,2,5,6,5,14,1,4,0,29,12,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,3,2,3,3,3,3,2
85,41,2,5,6,6,2,2,2,15,40,7,2,4,4,2,3,4,4,2,2,2,4,2,3,2,5,2,4,2,1,2,1,2,1,2,4,2,2,5,5,4,5,5,5,5,6
86,36,2,5,6,5,13,2,2,2,40,7,5,5,5,3,4,5,4,4,5,5,4,4,3,3,5,3,4,3,4,3,1,2,3,2,2,3,3,4,5,6,5,4,4,5,2
87,55,2,1,3,5,10,3,3,3,25,1,2,3,1,1,2,2,1,5,5,5,5,4,5,4,5,4,5,5,4,5,2,5,4,5,4,4,1,1,1,2,1,1,2,1,2
88,23,2,5,6,3,14,2,4,0,8,1,2,2,3,2,1,2,2,4,2,4,4,2,4,2,4,4,3,3,3,2,4,2,2,2,2,2,2,5,2,5,3,4,2,5,4
89,25,2,5,6,6,23,3,4,4,20,1,1,2,3,1,1,1,4,2,3,3,3,2,3,3,5,4,3,1,4,3,3,4,1,2,4,3,2,4,2,6,5,5,3,4,4
90,22,2,5,6,5,2,2,4,1,45,3,3,2,3,1,1,2,1,4,4,3,4,4,4,4,4,4,3,5,4,4,1,4,2,5,4,4,2,1,2,3,2,3,1,1,1
91,45,2,1,3,7,4,1,1,22,40,5,3,5,3,3,4,4,3,4,4,5,5,4,4,4,5,3,4,4,4,4,3,4,2,4,3,3,4,2,1,1,2,2,1,2,2
92,31,2,5,6,6,6,1,4,2,43,2,3,5,1,1,3,5,1,5,5,5,5,3,5,3,4,3,4,3,5,4,3,5,3,5,4,4,3,1,3,2,3,3,1,1,3
93,22,1,5,6,3,23,2,4,3,10,12,2,3,2,1,1,1,1,5,4,4,4,4,3,3,5,5,4,3,3,4,4,5,5,4,2,3,2,3,1,3,3,2,2,4,3
94,43,1,1,6,5,23,1,2,19,45,5,4,4,1,1,1,3,3,4,5,4,5,3,5,3,5,5,5,3,5,2,5,1,5,2,4,3,5,6,4,4,5,1,3,5,2
95,21,1,5,3,5,23,2,4,0,10,1,5,4,4,5,5,4,5,3,3,4,3,4,2,5,4,3,5,2,3,3,3,5,5,2,4,4,6,5,6,6,6,6,5,6,5
96,39,2,5,6,6,13,2,4,11,40,5,4,4,3,3,4,4,4,1,2,4,3,3,3,3,2,3,3,3,3,1,2,1,3,1,4,1,4,6,5,3,3,4,4,6,6
97,48,2,1,6,1,13,3,3,21,33,3,3,4,4,3,2,3,3,4,3,4,3,3,4,2,4,3,3,4,4,4,4,3,4,4,4,4,3,3,4,4,3,3,3,3,3
98,24,2,5,6,5,14,2,4,1,20,12,2,3,4,3,1,3,4,2,2,2,4,4,5,5,5,4,5,2,2,2,1,1,1,1,3,1,2,6,5,6,6,5,4,6,5
99,26,2,5,6,5,13,1,2,4,55,3,3,4,3,4,4,4,4,4,5,4,5,5,5,5,5,4,5,4,5,3,2,3,4,4,4,4,3,2,2,5,4,2,2,5,5
100,41,2,5,6,6,2,2,2,10,25,4,1,2,1,1,1,2,1,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,3,5,2,5,1,1,1,1,1,1,2,1,1
101,25,2,5,6,5,13,2,4,1,20,1,4,3,1,1,3,2,1,4,4,3,4,4,4,4,3,4,4,5,4,3,2,4,4,3,4,3,3,2,2,2,2,2,2,2,2
102,39,2,3,6,7,4,1,4,7,40,5,3,2,2,1,1,2,1,4,3,4,4,5,5,4,4,4,4,3,4,2,4,4,1,3,1,2,1,6,1,4,4,5,1,5,3
103,22,2,5,6,6,8,1,4,1,40,3,2,3,1,1,2,2,1,4,4,4,4,4,4,4,5,4,3,5,4,4,5,5,3,4,4,5,3,1,2,1,1,1,2,1,1
104,36,2,1,6,6,4,1,4,2,37,4,5,3,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,2,4,3,4,1,2,2,2,2,4,5,2,2
105,37,2,1,6,6,13,1,2,1,38,6,1,3,1,1,1,2,1,5,5,5,4,5,5,5,5,4,3,4,5,4,2,5,1,4,4,5,4,1,1,2,2,3,1,2,1
106,32,1,5,3,7,4,2,4,2,37,4,2,3,2,4,1,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,1,5,1,5,1,1,1,1,1,2,1,1,6
